laus_code,state_fips_code,county_fips_code,county_state,year,labor_force,employed,unemployed,unemployment_rate
CN1904700000000,19,47,"Crawford , IA",2006,"9,364","9,077",287,3.1
CN1904900000000,19,49,"Dallas , IA",2006,"31,214","30,328",886,2.8
CN1905100000000,19,51,"Davis , IA",2006,"4,141","3,947",194,4.7
CN1905300000000,19,53,"Decatur , IA",2006,"4,233","4,062",171,4
CN1905500000000,19,55,"Delaware , IA",2006,"10,732","10,337",395,3.7
CN1905700000000,19,57,"Des Moines , IA",2006,"21,068","20,070",998,4.7
CN1905900000000,19,59,"Dickinson , IA",2006,"9,979","9,572",407,4.1
CN1906100000000,19,61,"Dubuque , IA",2006,"51,906","49,998","1,908",3.7
CN1906300000000,19,63,"Emmet , IA",2006,"6,043","5,798",245,4.1
CN1906500000000,19,65,"Fayette , IA",2006,"11,064","10,561",503,4.5
CN1906700000000,19,67,"Floyd , IA",2006,"8,801","8,387",414,4.7
CN1906900000000,19,69,"Franklin , IA",2006,"5,842","5,617",225,3.9
CN1907100000000,19,71,"Fremont , IA",2006,"3,963","3,814",149,3.8
CN1907300000000,19,73,"Greene , IA",2006,"5,060","4,863",197,3.9
CN1907500000000,19,75,"Grundy , IA",2006,"6,912","6,701",211,3.1
CN1907700000000,19,77,"Guthrie , IA",2006,"6,051","5,828",223,3.7
CN1907900000000,19,79,"Hamilton , IA",2006,"8,806","8,492",314,3.6
CN1908100000000,19,81,"Hancock , IA",2006,"6,130","5,909",221,3.6
CN1908300000000,19,83,"Hardin , IA",2006,"9,149","8,807",342,3.7
CN1908500000000,19,85,"Harrison , IA",2006,"8,063","7,717",346,4.3
CN1908700000000,19,87,"Henry , IA",2006,"10,599","10,040",559,5.3
CN1908900000000,19,89,"Howard , IA",2006,"5,322","5,131",191,3.6
CN1909100000000,19,91,"Humboldt , IA",2006,"5,185","5,014",171,3.3
CN1909300000000,19,93,"Ida , IA",2006,"3,968","3,832",136,3.4
CN1909500000000,19,95,"Iowa , IA",2006,"8,837","8,514",323,3.7
CN1909700000000,19,97,"Jackson , IA",2006,"11,256","10,717",539,4.8
CN1909900000000,19,99,"Jasper , IA",2006,"18,315","17,376",939,5.1
CN1910100000000,19,101,"Jefferson , IA",2006,"8,308","7,958",350,4.2
CN1910300000000,19,103,"Johnson , IA",2006,"75,601","73,630","1,971",2.6
CN1910500000000,19,105,"Jones , IA",2006,"10,513","10,107",406,3.9
CN1910700000000,19,107,"Keokuk , IA",2006,"5,820","5,585",235,4
CN1910900000000,19,109,"Kossuth , IA",2006,"9,047","8,752",295,3.3
CN1911100000000,19,111,"Lee , IA",2006,"17,491","16,406","1,085",6.2
CN1911300000000,19,113,"Linn , IA",2006,"116,249","112,017","4,232",3.6
CN1911500000000,19,115,"Louisa , IA",2006,"6,432","6,188",244,3.8
CN1911700000000,19,117,"Lucas , IA",2006,"4,945","4,741",204,4.1
CN1911900000000,19,119,"Lyon , IA",2006,"6,666","6,513",153,2.3
CN1912100000000,19,121,"Madison , IA",2006,"8,400","8,068",332,4
CN1912300000000,19,123,"Mahaska , IA",2006,"11,829","11,396",433,3.7
CN1912500000000,19,125,"Marion , IA",2006,"17,894","17,272",622,3.5
CN1912700000000,19,127,"Marshall , IA",2006,"20,816","20,041",775,3.7
CN1912900000000,19,129,"Mills , IA",2006,"8,421","8,104",317,3.8
CN1913100000000,19,131,"Mitchell , IA",2006,"5,447","5,263",184,3.4
CN1913300000000,19,133,"Monona , IA",2006,"4,665","4,411",254,5.4
CN1913500000000,19,135,"Monroe , IA",2006,"4,212","4,044",168,4
CN1913700000000,19,137,"Montgomery , IA",2006,"5,838","5,514",324,5.5
CN1913900000000,19,139,"Muscatine , IA",2006,"24,051","23,280",771,3.2
CN1914100000000,19,141,"O'Brien , IA",2006,"7,730","7,496",234,3
CN1914300000000,19,143,"Osceola , IA",2006,"3,418","3,300",118,3.5
CN1914500000000,19,145,"Page , IA",2006,"8,361","8,038",323,3.9
CN1914700000000,19,147,"Palo Alto , IA",2006,"5,361","5,188",173,3.2
CN1914900000000,19,149,"Plymouth , IA",2006,"14,410","13,958",452,3.1
CN1915100000000,19,151,"Pocahontas , IA",2006,"4,101","3,976",125,3
CN1915300000000,19,153,"Polk , IA",2006,"233,878","225,888","7,990",3.4
CN1915500000000,19,155,"Pottawattamie , IA",2006,"49,273","47,098","2,175",4.4
CN1915700000000,19,157,"Poweshiek , IA",2006,"10,627","10,221",406,3.8
CN1915900000000,19,159,"Ringgold , IA",2006,"2,472","2,373",99,4
CN1916100000000,19,161,"Sac , IA",2006,"5,883","5,687",196,3.3
CN1916300000000,19,163,"Scott , IA",2006,"88,926","85,553","3,373",3.8
CN1916500000000,19,165,"Shelby , IA",2006,"7,417","7,183",234,3.2
CN1916700000000,19,167,"Sioux , IA",2006,"19,336","18,863",473,2.4
CN1916900000000,19,169,"Story , IA",2006,"47,827","46,579","1,248",2.6
CN1917100000000,19,171,"Tama , IA",2006,"8,966","8,590",376,4.2
CN1917300000000,19,173,"Taylor , IA",2006,"3,397","3,265",132,3.9
CN1917500000000,19,175,"Union , IA",2006,"6,477","6,214",263,4.1
CN1917700000000,19,177,"Van Buren , IA",2006,"3,925","3,757",168,4.3
CN1917900000000,19,179,"Wapello , IA",2006,"18,807","17,961",846,4.5
CN1918100000000,19,181,"Warren , IA",2006,"25,327","24,514",813,3.2
CN1918300000000,19,183,"Washington , IA",2006,"12,455","12,084",371,3
CN1918500000000,19,185,"Wayne , IA",2006,"3,211","3,083",128,4
CN1918700000000,19,187,"Webster , IA",2006,"19,822","19,048",774,3.9
CN1918900000000,19,189,"Winnebago , IA",2006,"5,814","5,608",206,3.5
CN1919100000000,19,191,"Winneshiek , IA",2006,"12,556","12,106",450,3.6
CN1919300000000,19,193,"Woodbury , IA",2006,"54,183","51,888","2,295",4.2
CN1919500000000,19,195,"Worth , IA",2006,"4,582","4,409",173,3.8
CN1919700000000,19,197,"Wright , IA",2006,"7,175","6,917",258,3.6
CN2000100000000,20,1,"Allen , KS",2006,"7,535","7,221",314,4.2
CN2000300000000,20,3,"Anderson , KS",2006,"4,165","3,963",202,4.8
CN2000500000000,20,5,"Atchison , KS",2006,"8,723","8,309",414,4.7
CN2000700000000,20,7,"Barber , KS",2006,"2,598","2,514",84,3.2
CN2000900000000,20,9,"Barton , KS",2006,"15,405","14,871",534,3.5
CN2001100000000,20,11,"Bourbon , KS",2006,"9,149","8,793",356,3.9
CN2001300000000,20,13,"Brown , KS",2006,"5,678","5,458",220,3.9
CN2001500000000,20,15,"Butler , KS",2006,"32,135","30,658","1,477",4.6
CN2001700000000,20,17,"Chase , KS",2006,"1,691","1,624",67,4
CN2001900000000,20,19,"Chautauqua , KS",2006,"1,889","1,793",96,5.1
CN2002100000000,20,21,"Cherokee , KS",2006,"10,691","10,142",549,5.1
CN2002300000000,20,23,"Cheyenne , KS",2006,"1,476","1,425",51,3.5
CN2002500000000,20,25,"Clark , KS",2006,"1,197","1,159",38,3.2
CN2002700000000,20,27,"Clay , KS",2006,"4,958","4,789",169,3.4
CN2002900000000,20,29,"Cloud , KS",2006,"5,885","5,686",199,3.4
CN2003100000000,20,31,"Coffey , KS",2006,"5,314","5,055",259,4.9
CN2003300000000,20,33,"Comanche , KS",2006,"1,088","1,057",31,2.8
CN2003500000000,20,35,"Cowley , KS",2006,"18,154","17,367",787,4.3
CN2003700000000,20,37,"Crawford , KS",2006,"19,331","18,343",988,5.1
CN2003900000000,20,39,"Decatur , KS",2006,"1,679","1,623",56,3.3
CN2004100000000,20,41,"Dickinson , KS",2006,"10,566","10,145",421,4
CN2004300000000,20,43,"Doniphan , KS",2006,"4,496","4,273",223,5
CN2004500000000,20,45,"Douglas , KS",2006,"62,560","60,180","2,380",3.8
CN2004700000000,20,47,"Edwards , KS",2006,"1,715","1,663",52,3
CN2004900000000,20,49,"Elk , KS",2006,"1,465","1,394",71,4.8
CN2005100000000,20,51,"Ellis , KS",2006,"17,198","16,724",474,2.8
CN2005300000000,20,53,"Ellsworth , KS",2006,"3,660","3,539",121,3.3
CN2005500000000,20,55,"Finney , KS",2006,"18,113","17,485",628,3.5
CN2005700000000,20,57,"Ford , KS",2006,"17,080","16,536",544,3.2
CN2005900000000,20,59,"Franklin , KS",2006,"13,771","13,060",711,5.2
CN2006100000000,20,61,"Geary , KS",2006,"11,288","10,695",593,5.3
CN2006300000000,20,63,"Gove , KS",2006,"1,522","1,480",42,2.8
CN2006500000000,20,65,"Graham , KS",2006,"1,449","1,402",47,3.2
CN2006700000000,20,67,"Grant , KS",2006,"3,914","3,800",114,2.9
CN2006900000000,20,69,"Gray , KS",2006,"3,186","3,095",91,2.9
CN2007100000000,20,71,"Greeley , KS",2006,734,711,23,3.1
CN2007300000000,20,73,"Greenwood , KS",2006,"3,529","3,366",163,4.6
CN2007500000000,20,75,"Hamilton , KS",2006,"1,261","1,220",41,3.3
CN2007700000000,20,77,"Harper , KS",2006,"3,435","3,324",111,3.2
CN2007900000000,20,79,"Harvey , KS",2006,"17,907","17,117",790,4.4
CN2008100000000,20,81,"Haskell , KS",2006,"2,099","2,039",60,2.9
CN2008300000000,20,83,"Hodgeman , KS",2006,963,929,34,3.5
CN2008500000000,20,85,"Jackson , KS",2006,"6,916","6,546",370,5.3
CN2008700000000,20,87,"Jefferson , KS",2006,"9,700","9,238",462,4.8
CN2008900000000,20,89,"Jewell , KS",2006,"1,900","1,841",59,3.1
CN2009100000000,20,91,"Johnson , KS",2006,"292,027","279,977","12,050",4.1
CN2009300000000,20,93,"Kearny , KS",2006,"2,023","1,947",76,3.8
CN2009500000000,20,95,"Kingman , KS",2006,"4,377","4,217",160,3.7
CN2009700000000,20,97,"Kiowa , KS",2006,"1,636","1,588",48,2.9
CN2009900000000,20,99,"Labette , KS",2006,"10,775","10,203",572,5.3
CN2010100000000,20,101,"Lane , KS",2006,"1,064","1,027",37,3.5
CN2010300000000,20,103,"Leavenworth , KS",2006,"32,764","30,926","1,838",5.6
CN2010500000000,20,105,"Lincoln , KS",2006,"1,848","1,783",65,3.5
CN2010700000000,20,107,"Linn , KS",2006,"4,809","4,510",299,6.2
CN2010900000000,20,109,"Logan , KS",2006,"1,493","1,446",47,3.1
CN2011100000000,20,111,"Lyon , KS",2006,"19,435","18,623",812,4.2
CN2011300000000,20,113,"McPherson , KS",2006,"17,229","16,648",581,3.4
CN2011500000000,20,115,"Marion , KS",2006,"6,781","6,514",267,3.9
CN2011700000000,20,117,"Marshall , KS",2006,"5,786","5,583",203,3.5
CN2011900000000,20,119,"Meade , KS",2006,"2,192","2,124",68,3.1
CN2012100000000,20,121,"Miami , KS",2006,"16,270","15,523",747,4.6
CN2012300000000,20,123,"Mitchell , KS",2006,"3,419","3,301",118,3.5
CN2012500000000,20,125,"Montgomery , KS",2006,"17,711","16,900",811,4.6
CN2012700000000,20,127,"Morris , KS",2006,"2,907","2,781",126,4.3
CN2012900000000,20,129,"Morton , KS",2006,"1,725","1,677",48,2.8
CN2013100000000,20,131,"Nemaha , KS",2006,"5,449","5,268",181,3.3
CN2013300000000,20,133,"Neosho , KS",2006,"9,231","8,869",362,3.9
CN2013500000000,20,135,"Ness , KS",2006,"1,695","1,647",48,2.8
CN2013700000000,20,137,"Norton , KS",2006,"2,701","2,612",89,3.3
CN2013900000000,20,139,"Osage , KS",2006,"8,712","8,235",477,5.5
CN2014100000000,20,141,"Osborne , KS",2006,"2,251","2,172",79,3.5
CN2014300000000,20,143,"Ottawa , KS",2006,"3,374","3,256",118,3.5
CN2014500000000,20,145,"Pawnee , KS",2006,"3,983","3,851",132,3.3
CN2014700000000,20,147,"Phillips , KS",2006,"3,092","2,996",96,3.1
CN2014900000000,20,149,"Pottawatomie , KS",2006,"11,186","10,814",372,3.3
CN2015100000000,20,151,"Pratt , KS",2006,"5,607","5,440",167,3
CN2015300000000,20,153,"Rawlins , KS",2006,"1,313","1,270",43,3.3
CN2015500000000,20,155,"Reno , KS",2006,"32,984","31,505","1,479",4.5
CN2015700000000,20,157,"Republic , KS",2006,"2,728","2,630",98,3.6
CN2015900000000,20,159,"Rice , KS",2006,"5,616","5,387",229,4.1
CN2016100000000,20,161,"Riley , KS",2006,"34,957","33,789","1,168",3.3
CN2016300000000,20,163,"Rooks , KS",2006,"2,710","2,610",100,3.7
CN2016500000000,20,165,"Rush , KS",2006,"1,698","1,637",61,3.6
CN2016700000000,20,167,"Russell , KS",2006,"3,471","3,339",132,3.8
CN2016900000000,20,169,"Saline , KS",2006,"30,460","29,310","1,150",3.8
CN2017100000000,20,171,"Scott , KS",2006,"2,777","2,698",79,2.8
CN2017300000000,20,173,"Sedgwick , KS",2006,"245,201","233,957","11,244",4.6
CN2017500000000,20,175,"Seward , KS",2006,"10,567","10,214",353,3.3
CN2017700000000,20,177,"Shawnee , KS",2006,"90,352","86,036","4,316",4.8
CN2017900000000,20,179,"Sheridan , KS",2006,"1,507","1,464",43,2.9
CN2018100000000,20,181,"Sherman , KS",2006,"3,671","3,564",107,2.9
CN2018300000000,20,183,"Smith , KS",2006,"2,236","2,162",74,3.3
CN2018500000000,20,185,"Stafford , KS",2006,"2,237","2,158",79,3.5
CN2018700000000,20,187,"Stanton , KS",2006,"1,158","1,127",31,2.7
CN2018900000000,20,189,"Stevens , KS",2006,"2,330","2,250",80,3.4
CN2019100000000,20,191,"Sumner , KS",2006,"11,947","11,383",564,4.7
CN2019300000000,20,193,"Thomas , KS",2006,"4,525","4,394",131,2.9
CN2019500000000,20,195,"Trego , KS",2006,"1,744","1,691",53,3
CN2019700000000,20,197,"Wabaunsee , KS",2006,"3,631","3,495",136,3.7
CN2019900000000,20,199,"Wallace , KS",2006,896,868,28,3.1
CN2020100000000,20,201,"Washington , KS",2006,"3,359","3,243",116,3.5
CN2020300000000,20,203,"Wichita , KS",2006,"1,251","1,213",38,3
CN2020500000000,20,205,"Wilson , KS",2006,"5,609","5,403",206,3.7
CN2020700000000,20,207,"Woodson , KS",2006,"1,667","1,584",83,5
CN2020900000000,20,209,"Wyandotte , KS",2006,"71,776","66,313","5,463",7.6
CN2100100000000,21,1,"Adair , KY",2006,"8,891","8,388",503,5.7
CN2100300000000,21,3,"Allen , KY",2006,"8,463","7,916",547,6.5
CN2100500000000,21,5,"Anderson , KY",2006,"11,028","10,457",571,5.2
CN2100700000000,21,7,"Ballard , KY",2006,"4,169","3,914",255,6.1
CN2100900000000,21,9,"Barren , KY",2006,"19,583","18,481","1,102",5.6
CN2101100000000,21,11,"Bath , KY",2006,"5,126","4,730",396,7.7
CN2101300000000,21,13,"Bell , KY",2006,"9,610","8,864",746,7.8
CN2101500000000,21,15,"Boone , KY",2006,"61,369","58,483","2,886",4.7
CN2101700000000,21,17,"Bourbon , KY",2006,"9,831","9,344",487,5
CN2101900000000,21,19,"Boyd , KY",2006,"23,096","21,830","1,266",5.5
CN2102100000000,21,21,"Boyle , KY",2006,"12,835","11,975",860,6.7
CN2102300000000,21,23,"Bracken , KY",2006,"4,341","4,094",247,5.7
CN2102500000000,21,25,"Breathitt , KY",2006,"5,667","5,251",416,7.3
CN2102700000000,21,27,"Breckinridge , KY",2006,"9,082","8,480",602,6.6
CN2102900000000,21,29,"Bullitt , KY",2006,"38,622","36,352","2,270",5.9
CN2103100000000,21,31,"Butler , KY",2006,"5,780","5,326",454,7.9
CN2103300000000,21,33,"Caldwell , KY",2006,"6,653","6,305",348,5.2
CN2103500000000,21,35,"Calloway , KY",2006,"18,003","16,983","1,020",5.7
CN2103700000000,21,37,"Campbell , KY",2006,"45,162","42,854","2,308",5.1
CN2103900000000,21,39,"Carlisle , KY",2006,"2,318","2,178",140,6
CN2104100000000,21,41,"Carroll , KY",2006,"5,768","5,452",316,5.5
CN2104300000000,21,43,"Carter , KY",2006,"13,713","12,675","1,038",7.6
CN2104500000000,21,45,"Casey , KY",2006,"7,486","6,979",507,6.8
CN2104700000000,21,47,"Christian , KY",2006,"26,223","24,499","1,724",6.6
CN2104900000000,21,49,"Clark , KY",2006,"17,370","16,426",944,5.4
CN2105100000000,21,51,"Clay , KY",2006,"7,067","6,363",704,10
CN2105300000000,21,53,"Clinton , KY",2006,"4,506","4,238",268,5.9
CN2105500000000,21,55,"Crittenden , KY",2006,"4,035","3,789",246,6.1
CN2105700000000,21,57,"Cumberland , KY",2006,"3,019","2,798",221,7.3
CN2105900000000,21,59,"Daviess , KY",2006,"47,260","44,748","2,512",5.3
CN2106100000000,21,61,"Edmonson , KY",2006,"5,417","5,046",371,6.8
CN2106300000000,21,63,"Elliott , KY",2006,"3,096","2,837",259,8.4
CN2106500000000,21,65,"Estill , KY",2006,"6,123","5,725",398,6.5
CN2106700000000,21,67,"Fayette , KY",2006,"148,691","142,257","6,434",4.3
CN2106900000000,21,69,"Fleming , KY",2006,"6,637","6,207",430,6.5
CN2107100000000,21,71,"Floyd , KY",2006,"15,212","14,236",976,6.4
CN2107300000000,21,73,"Franklin , KY",2006,"25,354","24,176","1,178",4.6
CN2107500000000,21,75,"Fulton , KY",2006,"2,800","2,588",212,7.6
CN2107700000000,21,77,"Gallatin , KY",2006,"3,975","3,785",190,4.8
CN2107900000000,21,79,"Garrard , KY",2006,"7,624","7,176",448,5.9
CN2108100000000,21,81,"Grant , KY",2006,"12,532","11,861",671,5.4
CN2108300000000,21,83,"Graves , KY",2006,"15,829","14,700","1,129",7.1
CN2108500000000,21,85,"Grayson , KY",2006,"11,617","10,653",964,8.3
CN2108700000000,21,87,"Green , KY",2006,"5,615","5,303",312,5.6
CN2108900000000,21,89,"Greenup , KY",2006,"17,418","16,410","1,008",5.8
CN2109100000000,21,91,"Hancock , KY",2006,"4,231","3,981",250,5.9
CN2109300000000,21,93,"Hardin , KY",2006,"47,757","45,197","2,560",5.4
CN2109500000000,21,95,"Harlan , KY",2006,"10,179","9,366",813,8
CN2109700000000,21,97,"Harrison , KY",2006,"9,022","8,533",489,5.4
CN2109900000000,21,99,"Hart , KY",2006,"7,964","7,462",502,6.3
CN2110100000000,21,101,"Henderson , KY",2006,"23,148","21,972","1,176",5.1
CN2110300000000,21,103,"Henry , KY",2006,"8,041","7,584",457,5.7
CN2110500000000,21,105,"Hickman , KY",2006,"2,065","1,929",136,6.6
CN2110700000000,21,107,"Hopkins , KY",2006,"23,260","21,922","1,338",5.8
CN2110900000000,21,109,"Jackson , KY",2006,"4,654","4,191",463,9.9
CN2111100000000,21,111,"Jefferson , KY",2006,"355,094","334,975","20,119",5.7
CN2111300000000,21,113,"Jessamine , KY",2006,"22,720","21,652","1,068",4.7
CN2111500000000,21,115,"Johnson , KY",2006,"9,651","9,028",623,6.5
CN2111700000000,21,117,"Kenton , KY",2006,"83,788","79,636","4,152",5
CN2111900000000,21,119,"Knott , KY",2006,"6,495","6,041",454,7
CN2112100000000,21,121,"Knox , KY",2006,"12,232","11,401",831,6.8
CN2112300000000,21,123,"Larue , KY",2006,"7,130","6,735",395,5.5
CN2112500000000,21,125,"Laurel , KY",2006,"25,868","24,367","1,501",5.8
CN2112700000000,21,127,"Lawrence , KY",2006,"5,818","5,337",481,8.3
CN2112900000000,21,129,"Lee , KY",2006,"2,737","2,536",201,7.3
CN2113100000000,21,131,"Leslie , KY",2006,"3,699","3,376",323,8.7
CN2113300000000,21,133,"Letcher , KY",2006,"9,120","8,435",685,7.5
CN2113500000000,21,135,"Lewis , KY",2006,"5,557","5,105",452,8.1
CN2113700000000,21,137,"Lincoln , KY",2006,"10,844","10,075",769,7.1
CN2113900000000,21,139,"Livingston , KY",2006,"4,908","4,611",297,6.1
CN2114100000000,21,141,"Logan , KY",2006,"12,487","11,767",720,5.8
CN2114300000000,21,143,"Lyon , KY",2006,"3,306","3,086",220,6.7
CN2114500000000,21,145,"McCracken , KY",2006,"31,431","29,750","1,681",5.3
CN2114700000000,21,147,"McCreary , KY",2006,"5,977","5,371",606,10.1
CN2114900000000,21,149,"McLean , KY",2006,"4,707","4,354",353,7.5
CN2115100000000,21,151,"Madison , KY",2006,"42,742","40,699","2,043",4.8
CN2115300000000,21,153,"Magoffin , KY",2006,"4,326","3,886",440,10.2
CN2115500000000,21,155,"Marion , KY",2006,"10,172","9,644",528,5.2
CN2115700000000,21,157,"Marshall , KY",2006,"14,736","13,842",894,6.1
CN2115900000000,21,159,"Martin , KY",2006,"3,600","3,334",266,7.4
CN2116100000000,21,161,"Mason , KY",2006,"8,706","8,250",456,5.2
CN2116300000000,21,163,"Meade , KY",2006,"12,019","11,255",764,6.4
CN2116500000000,21,165,"Menifee , KY",2006,"2,654","2,428",226,8.5
CN2116700000000,21,167,"Mercer , KY",2006,"10,588","9,975",613,5.8
CN2116900000000,21,169,"Metcalfe , KY",2006,"4,494","4,249",245,5.5
CN2117100000000,21,171,"Monroe , KY",2006,"5,033","4,719",314,6.2
CN2117300000000,21,173,"Montgomery , KY",2006,"12,139","11,412",727,6
CN2117500000000,21,175,"Morgan , KY",2006,"5,001","4,565",436,8.7
CN2117700000000,21,177,"Muhlenberg , KY",2006,"13,012","11,827","1,185",9.1
CN2117900000000,21,179,"Nelson , KY",2006,"21,189","19,953","1,236",5.8
CN2118100000000,21,181,"Nicholas , KY",2006,"2,987","2,786",201,6.7
CN2118300000000,21,183,"Ohio , KY",2006,"11,813","11,104",709,6
CN2118500000000,21,185,"Oldham , KY",2006,"27,396","26,048","1,348",4.9
CN2118700000000,21,187,"Owen , KY",2006,"5,220","4,933",287,5.5
CN2118900000000,21,189,"Owsley , KY",2006,"1,534","1,408",126,8.2
CN2119100000000,21,191,"Pendleton , KY",2006,"7,514","7,095",419,5.6
CN2119300000000,21,193,"Perry , KY",2006,"11,487","10,700",787,6.9
CN2119500000000,21,195,"Pike , KY",2006,"25,085","23,599","1,486",5.9
CN2119700000000,21,197,"Powell , KY",2006,"5,607","5,201",406,7.2
CN2119900000000,21,199,"Pulaski , KY",2006,"27,255","25,491","1,764",6.5
CN2120100000000,21,201,"Robertson , KY",2006,"1,051",995,56,5.3
CN2120300000000,21,203,"Rockcastle , KY",2006,"7,539","7,026",513,6.8
CN2120500000000,21,205,"Rowan , KY",2006,"12,199","11,500",699,5.7
CN2120700000000,21,207,"Russell , KY",2006,"8,185","7,650",535,6.5
CN2120900000000,21,209,"Scott , KY",2006,"21,915","20,888","1,027",4.7
CN2121100000000,21,211,"Shelby , KY",2006,"21,058","19,972","1,086",5.2
CN2121300000000,21,213,"Simpson , KY",2006,"8,998","8,481",517,5.7
CN2121500000000,21,215,"Spencer , KY",2006,"8,763","8,241",522,6
CN2121700000000,21,217,"Taylor , KY",2006,"13,357","12,726",631,4.7
CN2121900000000,21,219,"Todd , KY",2006,"5,133","4,643",490,9.5
CN2122100000000,21,221,"Trigg , KY",2006,"6,707","6,322",385,5.7
CN2122300000000,21,223,"Trimble , KY",2006,"4,440","4,143",297,6.7
CN2122500000000,21,225,"Union , KY",2006,"7,179","6,756",423,5.9
CN2122700000000,21,227,"Warren , KY",2006,"56,606","53,891","2,715",4.8
CN2122900000000,21,229,"Washington , KY",2006,"5,360","5,051",309,5.8
CN2123100000000,21,231,"Wayne , KY",2006,"8,684","8,102",582,6.7
CN2123300000000,21,233,"Webster , KY",2006,"6,643","6,304",339,5.1
CN2123500000000,21,235,"Whitley , KY",2006,"15,401","14,459",942,6.1
CN2123700000000,21,237,"Wolfe , KY",2006,"2,327","2,108",219,9.4
CN2123900000000,21,239,"Woodford , KY",2006,"13,479","12,911",568,4.2
CN2200100000000,22,1,"Acadia Parish, LA",2006,"25,931","24,985",946,3.6
CN2200300000000,22,3,"Allen Parish, LA",2006,"8,710","8,253",457,5.2
CN2200500000000,22,5,"Ascension Parish, LA",2006,"47,386","45,441","1,945",4.1
CN2200700000000,22,7,"Assumption Parish, LA",2006,"10,204","9,645",559,5.5
CN2200900000000,22,9,"Avoyelles Parish, LA",2006,"15,986","15,177",809,5.1
CN2201100000000,22,11,"Beauregard Parish, LA",2006,"14,464","13,817",647,4.5
CN2201300000000,22,13,"Bienville Parish, LA",2006,"6,322","6,005",317,5
CN2201500000000,22,15,"Bossier Parish, LA",2006,"52,081","50,119","1,962",3.8
CN2201700000000,22,17,"Caddo Parish, LA",2006,"117,931","112,544","5,387",4.6
CN2201900000000,22,19,"Calcasieu Parish, LA",2006,"89,953","86,466","3,487",3.9
CN2202100000000,22,21,"Caldwell Parish, LA",2006,"4,411","4,220",191,4.3
CN2202300000000,22,23,"Cameron Parish, LA",2006,"3,669","3,535",134,3.7
CN2202500000000,22,25,"Catahoula Parish, LA",2006,"4,152","3,916",236,5.7
CN2202700000000,22,27,"Claiborne Parish, LA",2006,"6,883","6,554",329,4.8
CN2202900000000,22,29,"Concordia Parish, LA",2006,"7,309","6,833",476,6.5
CN2203100000000,22,31,"De Soto Parish, LA",2006,"11,326","10,765",561,5
CN2203300000000,22,33,"East Baton Rouge Parish, LA",2006,"213,196","203,836","9,360",4.4
CN2203500000000,22,35,"East Carroll Parish, LA",2006,"3,130","2,864",266,8.5
CN2203700000000,22,37,"East Feliciana Parish, LA",2006,"7,964","7,577",387,4.9
CN2203900000000,22,39,"Evangeline Parish, LA",2006,"12,128","11,563",565,4.7
CN2204100000000,22,41,"Franklin Parish, LA",2006,"7,799","7,295",504,6.5
CN2204300000000,22,43,"Grant Parish, LA",2006,"8,667","8,301",366,4.2
CN2204500000000,22,45,"Iberia Parish, LA",2006,"34,260","32,954","1,306",3.8
CN2204700000000,22,47,"Iberville Parish, LA",2006,"12,295","11,525",770,6.3
CN2204900000000,22,49,"Jackson Parish, LA",2006,"6,512","6,230",282,4.3
CN2205300000000,22,53,"Jefferson Davis Parish, LA",2006,"14,419","13,935",484,3.4
CN2205500000000,22,55,"Lafayette Parish, LA",2006,"107,716","104,316","3,400",3.2
CN2205700000000,22,57,"Lafourche Parish, LA",2006,"46,934","45,416","1,518",3.2
CN2205900000000,22,59,"LaSalle Parish, LA",2006,"6,133","5,914",219,3.6
CN2206100000000,22,61,"Lincoln Parish, LA",2006,"18,616","17,731",885,4.8
CN2206300000000,22,63,"Livingston Parish, LA",2006,"54,234","52,035","2,199",4.1
CN2206500000000,22,65,"Madison Parish, LA",2006,"4,570","4,282",288,6.3
CN2206700000000,22,67,"Morehouse Parish, LA",2006,"11,526","10,750",776,6.7
CN2206900000000,22,69,"Natchitoches Parish, LA",2006,"17,839","17,016",823,4.6
CN2207300000000,22,73,"Ouachita Parish, LA",2006,"71,899","68,849","3,050",4.2
CN2207700000000,22,77,"Pointe Coupee Parish, LA",2006,"9,501","9,023",478,5
CN2207900000000,22,79,"Rapides Parish, LA",2006,"59,660","57,225","2,435",4.1
CN2208100000000,22,81,"Red River Parish, LA",2006,"3,252","3,047",205,6.3
CN2208300000000,22,83,"Richland Parish, LA",2006,"8,588","8,136",452,5.3
CN2208500000000,22,85,"Sabine Parish, LA",2006,"9,579","9,201",378,3.9
CN2209100000000,22,91,"St. Helena Parish, LA",2006,"4,221","3,886",335,7.9
CN2209300000000,22,93,"St. James Parish, LA",2006,"8,412","7,846",566,6.7
CN2209700000000,22,97,"St. Landry Parish, LA",2006,"37,534","35,842","1,692",4.5
CN2209900000000,22,99,"St. Martin Parish, LA",2006,"23,191","22,304",887,3.8
CN2210100000000,22,101,"St. Mary Parish, LA",2006,"23,157","22,071","1,086",4.7
CN2210500000000,22,105,"Tangipahoa Parish, LA",2006,"50,843","48,237","2,606",5.1
CN2210700000000,22,107,"Tensas Parish, LA",2006,"2,328","2,143",185,7.9
CN2210900000000,22,109,"Terrebonne Parish, LA",2006,"52,669","50,862","1,807",3.4
CN2211100000000,22,111,"Union Parish, LA",2006,"10,347","9,888",459,4.4
CN2211300000000,22,113,"Vermilion Parish, LA",2006,"23,969","23,036",933,3.9
CN2211500000000,22,115,"Vernon Parish, LA",2006,"21,538","20,671",867,4
